Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
213,97352,0,19145.52,0,97352.13,0
214,97352,0,21665.89,0,97352.13,0
215,97352,0,24914.39,0,97352.13,0
216,97352.13,0,26794.38,0,97352.13,0
217,97352,0,14609.59,0,97352.13,0
218,97352,0,14528.2,0,97352.13,0
219,97352,0,25310.08,0,97352.13,0
220,97352.13,0,28102.33,0,97352.13,0
221,97352,0,24675.22,0,97352.13,0
222,97352,0,22397.64,0,97352.13,0
223,97352,0,24083.09,0,97352.13,0
224,97352.13,0,23450.86,0,97352.13,0
225,97352,0,26514.65,0,97352.13,0
226,97352,0,20139.67,0,97352.13,0
227,97352.13,0,18117.61,0,97352.13,0
228,97352.13,0,29783.85,0,97352.13,0
229,97352,0,26827.56,0,97352.13,0
230,97352,0,30264.7,0,97352.13,0
231,97352.13,0,23771.91,0,97352.13,0
232,98552,0,25022.35,0,98552,0
233,98754.95,0,21606.62,0,98754.95,0
234,98754.95,0,20109.37,0,98754.95,0
235,98754.95,0,19642.89,0,98754.95,0
236,98552,0,18876.46,0,98754.95,0
237,98754.95,0,18850.71,0,98754.95,0
238,98754.95,0,19439.6,0,98754.95,0
239,98754.95,0,22749.96,0,98754.95,0
240,98552,0,23527.36,0,98754.95,0
241,98754.95,0,17028.71,0,98754.95,0
242,98754.95,0,27599.15,0,98754.95,0
243,98754.95,0,24777.96,0,98754.95,0
244,98552,0,22067.79,0,98754.95,0
245,98754.95,0,21210.06,0,98754.95,0
246,98754.95,0,17463.43,0,98754.95,0
247,98552,0,18888.13,0,98754.95,0
248,98552,0,16151.72,0,98754.95,0
249,98754.95,0,17348.09,0,98754.95,0
250,98754.95,0,23976.04,0,98754.95,0
251,98552,0,19925.43,0,98754.95,0
252,98552,0,24122.88,0,98754.95,0
253,98754.95,0,30956.37,0,98754.95,0
254,98754.95,0,28353.21,0,98754.95,0
255,98754.95,0,24009.79,0,98754.95,0
256,98552,0,25300.36,0,98754.95,0
257,98754.95,0,21645.97,0,98754.95,0
258,98754.95,0,17651.78,0,98754.95,0
259,98754.95,0,20691.71,0,98754.95,0
260,98552,0,25428.03,0,98754.95,0
261,98754.95,0,22870.12,0,98754.95,0
262,98754.95,0,21474.93,0,98754.95,0
263,98754.95,0,22330.37,0,98754.95,0
264,98552,0,22183.15,0,98754.95,0
265,98754.95,0,18625.12,0,98754.95,0
266,98754.95,0,23170.91,0,98754.95,0
267,98552,0,37003.85,0,98754.95,0
268,98552,0,28147.43,0,98754.95,0
269,98754.95,0,29381.99,0,98754.95,0
270,98754.95,0,22680.88,0,98754.95,0
271,98552,0,24895.57,0,98754.95,0
272,98552,0,26336.74,0,98754.95,0
273,98754.95,0,26374.37,0,98754.95,0
274,98754.95,0,24904.85,0,98754.95,0
275,98754.95,0,20694.71,0,98754.95,0
276,98552,0,18346.82,0,98754.95,0
277,98754.95,0,17937.62,0,98754.95,0
278,98754.95,0,28099.7,0,98754.95,0
279,98754.95,0,29768.1,0,98754.95,0
280,98552,0,24054.49,0,98754.95,0
281,98754.95,0,16947.32,0,98754.95,0
282,98754.95,0,15629.75,0,98754.95,0
283,98754.95,0,15181.43,0,98754.95,0
284,98552,0,19098,0,98754.95,0
285,98754.95,0,21412.96,0,98754.95,0
286,98754.95,0,22847.43,0,98754.95,0
287,98552,0,29920.19,0,98754.95,0
288,98552,0,32504.64,0,98754.95,0
289,98754.95,0,28457.84,0,98754.95,0
290,98754.95,0,22233.21,0,98754.95,0
291,98552,0,20815.78,0,98754.95,0
292,98552,0,18162.68,0,98754.95,0
293,98754.95,0,16916.72,0,98754.95,0
294,98754.95,0,21434.15,0,98754.95,0
295,98754.95,0,25149.81,0,98754.95,0
296,98552,0,13824.1,0,98754.95,0
297,98754.95,0,19202.57,0,98754.95,0
298,98754.95,0,18377.96,0,98754.95,0
299,98754.95,0,21415.19,0,98754.95,0
300,98552,0,25567.73,0,98754.95,0
301,98754.95,0,18968.14,0,98754.95,0
302,98754.95,0,13774.21,0,98754.95,0
303,98754.95,0,21129.06,0,98754.95,0
304,98552,0,27258.24,0,98754.95,0
305,98754.95,0,25167.64,0,98754.95,0
306,98754.95,0,20430.05,0,98754.95,0
307,98552,0,19210.78,0,98754.95,0
308,98552,0,23202.6,0,98754.95,0
309,98754.95,0,21902.8,0,98754.95,0
310,98754.95,0,19760.18,0,98754.95,0
311,98552,0,25452.54,0,98754.95,0
312,98552,0,27795.86,0,98754.95,0
313,98754.95,0,24337.33,0,98754.95,0
314,98754.95,0,25832.44,0,98754.95,0
315,98754.95,0,22607.56,0,98754.95,0
316,98552,0,19083.7,0,98754.95,0
317,98754.95,0,20510.2,0,98754.95,0
318,98754.95,0,25800.84,0,98754.95,0
319,98754.95,0,17918.07,0,98754.95,0
320,98552,0,20875.44,0,98754.95,0
321,98754.95,0,27810.66,0,98754.95,0
322,98754.95,0,16577.57,0,98754.95,0
323,98754.95,0,20863.35,0,98754.95,0
324,98552,0,20918.53,0,98754.95,0
325,98754.95,0,24282.78,0,98754.95,0
326,98754.95,0,22000.47,0,98754.95,0
327,98552,0,25200.3,0,98754.95,0
328,98552,0,35244.41,0,98754.95,0
329,98754.95,0,17290.44,0,98754.95,0
330,98754.95,0,13408.61,0,98754.95,0
331,98552,0,12640.88,0,98754.95,0
332,98552,0,16916.29,0,98754.95,0
333,98754.95,0,13440.28,0,98754.95,0
334,98754.95,0,18799.6,0,98754.95,0
335,98754.95,0,21546.4,0,98754.95,0
336,98552,0,15401.09,0,98754.95,0
337,98754.95,0,23873.53,0,98754.95,0
338,98754.95,0,22252.4,0,98754.95,0
339,98754.95,0,21342.06,0,98754.95,0
340,98552,0,18628.79,0,98754.95,0
341,98754.95,0,17802.08,0,98754.95,0
342,98754.95,0,21142.36,0,98754.95,0
343,98754.95,0,19081.16,0,98754.95,0
344,98552,0,18482.81,0,98754.95,0
345,98754.95,0,19248.31,0,98754.95,0
346,98754.95,0,23839.68,0,98754.95,0
347,98552,0,23267.66,0,98754.95,0
348,98552,0,21811.79,0,98754.95,0
349,98754.95,0,16577.31,0,98754.95,0
350,98754.95,0,17376.08,0,98754.95,0
351,98552,0,22017.57,0,98754.95,0
352,98552,0,19751,0,98754.95,0
353,98754.95,0,20307.06,0,98754.95,0
354,98754.95,0,20380.84,0,98754.95,0
355,98754.95,0,15395.89,0,98754.95,0
356,98552,0,13530.63,0,98754.95,0
357,98754.95,0,12328.52,0,98754.95,0
358,98754.95,0,15276.4,0,98754.95,0
359,98754.95,0,14405.64,0,98754.95,0
360,98552,0,16039.56,0,98754.95,0
361,98754.95,0,23345.28,0,98754.95,0
362,98754.95,0,25597.83,0,98754.95,0
363,98754.95,0,22560.54,0,98754.95,0
364,98552,0,29080.63,0,98754.95,0
365,98754.95,0,24384.37,0,98754.95,0
366,98754.95,0,24033.14,0,98754.95,0
367,98552,0,26495.8,0,98754.95,0
368,98552,0,20919.38,0,98754.95,0
369,98754.95,0,21577.64,0,98754.95,0
370,98754.95,0,19622.09,0,98754.95,0
371,98552,0,17636.36,0,98754.95,0
372,98552,0,16262.01,0,98754.95,0
373,98754.95,0,21056.27,0,98754.95,0
374,98754.95,0,22183.86,0,98754.95,0
375,98754.95,0,20215.84,0,98754.95,0
376,98552,0,23710.54,0,98754.95,0
377,98754.95,0,25004.81,0,98754.95,0
378,98754.95,0,27758.31,0,98754.95,0
379,98754.95,0,31904.43,0,98754.95,0
380,98552,0,21602.07,0,98754.95,0
381,98754.95,0,16550.6,0,98754.95,0
382,98754.95,0,22646.42,0,98754.95,0
383,98754.95,0,23473.2,0,98754.95,0
384,98552,0,23746.21,0,98754.95,0
385,98754.95,0,20745.45,0,98754.95,0
386,98754.95,0,25773.65,0,98754.95,0
387,98552,0,37453.38,0,98754.95,0
388,98552,0,23692.1,0,98754.95,0
389,98754.95,0,20151.41,0,98754.95,0
390,98754.95,0,19101.92,0,98754.95,0
391,98552,0,20362.04,0,98754.95,0
392,98552,0,27795.03,0,98754.95,0
393,98754.95,0,28942.92,0,98754.95,0
394,98754.95,0,24882.75,0,98754.95,0
395,98552,0,22813.13,0,98754.95,0
396,98552,0,23429.19,0,98754.95,0
397,98754.95,0,22446.39,0,98754.95,0
398,98754.95,0,23139.23,0,98754.95,0
399,98754.95,0,19370.53,0,98754.95,0
400,98552,0,24194.82,0,98754.95,0
401,98754.95,0,25821.85,0,98754.95,0
402,98754.95,0,32574.82,0,98754.95,0
403,98754.95,0,28083.79,0,98754.95,0
404,98552,0,26238.66,0,98754.95,0
405,98754.95,0,27462.43,0,98754.95,0
406,98754.95,0,27440.06,0,98754.95,0
407,98754.95,0,20487.65,0,98754.95,0
408,98552,0,26723.47,0,98754.95,0
409,98754.95,0,22380.5,0,98754.95,0
410,98754.95,0,23775.42,0,98754.95,0
411,98754.95,0,24557.49,0,98754.95,0
412,98552,0,23621.27,0,98754.95,0
413,98754.95,0,21085.63,0,98754.95,0
414,98754.95,0,19948.32,0,98754.95,0
415,98552,0,24620.51,0,98754.95,0
416,98552,0,24033.21,0,98754.95,0
417,98754.95,0,21048.68,0,98754.95,0
418,98754.95,0,23039.44,0,98754.95,0
419,98754.95,0,20207.18,0,98754.95,0
420,98552,0,21657.47,0,98754.95,0
421,98552,0,25249,0,98754.95,0
422,98754.95,0,29635.57,0,98754.95,0
423,98754.95,0,20207.33,0,98754.95,0
424,98552,0,23969.35,0,98754.95,0
425,98552,0,18167.7,0,98754.95,0
426,98754.95,0,22735.13,0,98754.95,0
427,98754.95,0,25312,0,98754.95,0
428,98552,0,18027.47,0,98754.95,0
429,98754.95,0,26754.44,0,98754.95,0
430,98754.95,0,21125.38,0,98754.95,0
431,98754.95,0,33040.18,0,98754.95,0
432,98552,0,24204.03,0,98754.95,0
433,98754.95,0,21188.3,0,98754.95,0
434,98754.95,0,18693.31,0,98754.95,0
435,98754.95,0,22503.09,0,98754.95,0
436,98552,0,20981.64,0,98754.95,0
437,98754.95,0,18216.88,0,98754.95,0
438,98754.95,0,21148.27,0,98754.95,0
439,98754.95,0,19610.45,0,98754.95,0
440,98552,0,16772.36,0,98754.95,0
441,98552,0,14417.53,0,98754.95,0
442,98754.95,0,18671.46,0,98754.95,0
443,98754.83,0,23588.69,0,98754.95,0
444,98552,0,19338.28,0,98754.95,0
445,98552,0,22416.79,0,98754.95,0
446,98754.95,0,19153.43,0,98754.95,0
447,98754.95,0,17558.39,0,98754.95,0
448,98552,0,20125.89,0,98754.95,0
449,98754.95,0,20104.35,0,98754.95,0
450,98754.95,0,25770.97,0,98754.95,0
451,98754.95,0,27034.44,0,98754.95,0
452,98552,0,24589.92,0,98754.95,0
453,98754.95,0,22739.51,0,98754.95,0
454,98754.95,0,24213.54,0,98754.95,0
455,98754.95,0,23854.04,0,98754.95,0
456,98552,0,17189.02,0,98754.95,0
457,98754.95,0,16070.37,0,98754.95,0
458,98754.95,0,11612.73,0,98754.95,0
459,98754.95,0,14402.44,0,98754.95,0
460,98552,0,15435.75,0,98754.95,0
461,98552,0,15110.38,0,98754.95,0
462,98754.95,0,17925.85,0,98754.95,0
463,98754.95,0,27882.67,0,98754.95,0
464,98552,0,17118.86,0,98754.95,0
465,98552,0,23583.49,0,98754.95,0
466,98754.95,0,31650.28,0,98754.95,0
467,98754.95,0,35275.17,0,98754.95,0
468,98552,0,20647.38,0,98754.95,0
469,98754.95,0,22854.29,0,98754.95,0
470,98754.95,0,15468.73,0,98754.95,0
471,98754.95,0,22451.22,0,98754.95,0
472,98552,0,17647.54,0,98754.95,0
473,98754.95,0,19463.86,0,98754.95,0
474,98754.95,0,17289.02,0,98754.95,0
475,98754.95,0,23495.82,0,98754.95,0
476,98552,0,19434.8,0,98754.95,0
