Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
288,56829.28,0,11947.29,0,56829.28,0
289,74495.51,0,20154.92,0,74495.51,0
290,4921.293,0,4898.975,0,4921.293,0
291,4921.293,0,4909.836,0,4921.293,0
292,4923.379,0,4915.477,0,4923.379,0
293,4941.947,0,4922.481,0,4941.947,0
294,4949.771,0,4928.318,0,4949.771,0
295,4952.208,0,4933.012,0,4952.208,0
296,18917.51,0,5712.03,0,18917.51,0
297,23319.05,0,6843.758,0,23319.05,0
298,43132.76,0,14981.6,0,43132.76,0
299,63494.51,0,24884.82,0,63494.51,0
300,15708.26,0,6148.4,0,15708.26,0
301,15949.71,0,7802.909,0,15949.71,0
302,15949.99,0,11443.41,0,15949.99,0
303,15970.13,0,13623.51,0,15970.13,0
304,15970.13,0,13680.08,0,15970.13,0
305,16041.06,0,13041.49,0,16041.06,0
306,20498.41,0,14404,0,20498.41,0
307,20098.41,0,13752.29,0,20098.41,0
308,20098.41,0,15439.85,0,20098.41,0
309,20498.41,0,13036.45,0,20498.41,0
310,4868.875,0,4829.247,0,4868.875,0
311,4876.726,0,4850.48,0,4876.726,0
312,5135.193,0,4877.251,0,5135.193,0
313,6903.556,0,5190.97,0,6903.556,0
314,60693.38,0,8162.728,0,60693.38,0
315,60693.38,0,20378.84,0,60693.38,0
316,60693.38,0,21193.71,0,60693.38,0
317,64920.71,0,26175.78,0,64920.71,0
318,65120.82,0,23258.84,0,65120.82,0
319,65720.81,0,30552.95,0,65720.81,0
320,4490.851,0,4464.788,0,4490.851,0
321,4503.758,0,4479.466,0,4503.758,0
322,4505.261,0,4476.818,0,4505.261,0
323,4541.587,0,4499.134,0,4541.587,0
324,13570.55,0,5191.343,0,13570.55,0
325,59828,0,9404.828,0,59828,0
326,60005.56,0,14425.53,0,60005.56,0
327,60005.56,0,11451.6,0,60005.56,0
328,69638.24,0,18843.5,0,69638.24,0
329,69638.24,0,14078.41,0,69638.24,0
330,5211.902,0,4904.224,0,5211.902,0
331,28382.03,0,8047.157,0,28382.03,0
332,37429.67,0,18996.32,0,37429.67,0
333,41955.75,0,18788,0,41955.75,0
334,61687.86,0,26071.75,0,61687.86,0
335,61687.86,0,34709.79,0,61687.86,0
336,63090.32,0,37821.98,0,63090.32,0
337,62490.32,0,39923.42,0,62490.32,0
338,62490.32,0,42189.39,0,62490.32,0
339,62893.32,0,43445.63,0,62893.32,0
340,6021.628,0,4455.808,0,6021.628,0
341,6021.628,0,4575.731,0,6021.628,0
342,7806.249,0,4998.15,0,7806.249,0
343,7806.249,0,4625.395,0,7806.249,0
344,10392.69,0,4894.201,0,10392.69,0
345,10392.69,0,5090.302,0,10392.69,0
346,10610.17,0,6082.255,0,10610.17,0
347,11403.18,0,5421.833,0,11403.18,0
348,11602.87,0,4803.974,0,11602.87,0
349,11602.87,0,5049.784,0,11602.87,0
350,4616.607,0,4543.64,0,4616.607,0
351,21254.08,0,5769.118,0,21254.08,0
352,41652.12,0,7748.233,0,41652.12,0
353,42455.94,0,11244.17,0,42455.94,0
354,42455.94,0,13409.96,0,42455.94,0
355,42455.94,0,12036.48,0,42455.94,0
356,55289.12,0,15506.55,0,55289.12,0
357,55289.12,0,13677.09,0,55289.12,0
358,60692.64,0,17436.24,0,60692.64,0
359,60692.64,0,17955.12,0,60692.64,0
360,4678.987,0,4653.642,0,4678.987,0
361,5050.021,0,4679.884,0,5050.021,0
362,61869.73,0,10148.47,0,61869.73,0
